,Home,Away,Datetime,HomePos,HomePts,AwayPos,AwayPts,Result,HomeMatches,AwayMatches,OddsH1,OddsD1,OddsA1,OddsH2,OddsD2,OddsA2,OddsH3,OddsD3,OddsA3,OddsH4,OddsD4,OddsA4,OddsH5,OddsD5,OddsA5,HNplayers,HAverageAge,HNforeign,HPlayerValues,HMarketValue,ANplayers,AAverageAge,ANforeign,APlayerValues,AMarketValue,HATT,HMID,HDEF,HOVR,AATT,AMID,ADEF,AOVR
0,Leicester,Everton,08/16/2014 15:00:00,,,,,2-2,0,0,3.2,3.4,2.4,2.9,3.2,2.4,3.25,3.4,2.25,3.14,3.38,2.46,3.1,3.1,2.4,37,25.9,18,55.85,1.51,40,24.3,19,177.5,4.44,71,72,68,72,78,78,78,78
1,QPR,Hull,08/16/2014 15:00:00,,,,,0-1,0,0,2.5,3.3,3.1,2.5,3.1,2.85,2.4,3.25,3.1,2.48,3.26,3.22,2.6,3,2.9,41,25.1,24,115.05,2.81,35,26.1,24,122.25,3.49,74,74,71,75,75,73,70,73
2,Stoke,Aston Villa,08/16/2014 15:00:00,,,,,0-1,0,0,1.95,3.5,4.5,1.95,3.3,3.9,1.95,3.4,4.2,1.95,3.47,4.55,1.95,3.2,4.2,30,26.4,23,128.85,4.3,38,24.3,20,127,3.34,76,75,74,76,72,74,74,75
3,West Brom,Sunderland,08/16/2014 15:00:00,,,,,2-2,0,0,2.25,3.4,3.5,2.3,3.25,3.1,2.3,3.3,3.3,2.21,3.34,3.73,2.3,3.1,3.3,34,25.5,22,100.6,2.96,34,24.8,20,115.25,3.39,74,74,71,74,76,73,72,74
4,West Ham,Tottenham,08/16/2014 15:00:00,,,,,0-1,0,0,3.8,3.6,2.05,3.5,3.4,2.05,3.6,3.4,2.1,3.96,3.55,2.06,3.75,3.3,2.05,36,24.8,21,123,3.42,42,23.7,25,298.25,7.1,75,74,72,75,78,77,77,78
5,Arsenal,Crystal Palace,08/16/2014 17:30:00,,,,,2-1,0,0,1.25,6.5,15,1.25,5.5,12,1.25,6,13,1.26,6.45,14.01,1.25,5.5,12,42,23,29,404.35,9.63,42,26,25,89.3,2.13,80,80,77,80,73,73,73,73
6,Liverpool,Southampton,08/17/2014 13:30:00,,,,,2-1,0,0,1.33,5.75,10,1.36,4.5,8.75,1.36,5,9,1.35,5.48,10.3,1.36,4.5,9,35,23.4,21,285,8.14,37,23.5,20,150.4,4.06,79,78,75,79,77,75,76,76
7,Newcastle,Man City,08/17/2014 16:00:00,,,,,0-2,0,0,5.25,4.33,1.67,4.75,3.8,1.67,5,4.2,1.66,5.8,4.28,1.63,5,3.75,1.67,42,22.9,26,139.85,3.33,36,25.4,29,478,13.28,74,75,74,75,83,82,81,82
8,Burnley,Chelsea,08/18/2014 20:00:00,,,,,1-3,0,0,9,5,1.4,7.5,4.6,1.4,9,4.8,1.4,9.77,4.81,1.41,9,4.2,1.4,30,25.5,13,36.75,1.23,38,23.9,28,526.1,13.84,71,70,71,70,82,82,81,83
9,Aston Villa,Newcastle,08/23/2014 12:45:00,6,3,20,0,0-0,1,1,2.5,3.4,3,2.6,3.25,2.9,2.5,3.3,2.87,2.56,3.36,3.01,2.45,3.25,2.9,38,24.3,20,127,3.34,42,22.9,26,139.85,3.33,72,74,74,75,74,75,74,75
